,04CN_1,04CN_2,05CN_1,05CN_2,14CN_1,14CN_2,04CT_1,04CT_2,05CT_1,05CT_2,14CT_1,14CT_2,p_value,mean_T_N
chr1_3720000_4080000,0.111355371103732,0.274380018011807,0.460057096576229,0.392230443621621,0.775892683493951,1.04006524747339,0.761075555221726,0.73921324381962,-0.209311343001415,0.0315534171038265,0.340644948911629,0.398076701175204,0.6875,-0.16545472284169
chr1_4080000_6000000,-0.584361683018482,-0.579109731930741,-0.334425243352328,-0.309820486090441,-0.176104230250814,-0.213949661969968,-1.00654916563781,-1.02627660672161,-0.736995265401859,-0.785890300334385,-0.313915912093757,-0.552189177971676,0.03125,-0.37067423192472054
chr1_6000000_6720000,1.10527954361918,1.17694758096248,1.63194421844904,1.61346224558682,1.38411524727245,1.57843856295417,1.72830806729082,1.62253368399029,0.888844325182627,0.942909950323475,1.26215266674762,1.24607611488994,0.5625,-0.133227098403228
chr1_7880000_8520000,0.979370179139115,0.861364652625391,0.669865223403847,0.847298839562426,0.801508785158095,0.42644273343484,0.916176411235191,1.13164778774623,0.881981350902447,0.839365205435934,1.34996630040591,1.43644802977971,0.15625,0.32828911203028477
chr1_8520000_9080000,0.883893876425807,0.746088140982037,0.772871274633873,0.730053425824778,0.620870122171562,0.772387268438785,0.709041760249001,0.690486679897408,0.431785345424618,0.363201054210089,0.865534038364474,1.05553968311884,0.5625,-0.06842925786873533
chr1_9720000_10560000,0.754578820102773,0.732548649389601,1.07124519789775,1.02478763770838,1.06380960014885,0.916544152575811,1.13992327923094,1.07254692133227,0.425750602741996,0.521451404356744,0.712193253166476,0.528796299416212,0.21875,-0.1938087162630877
chr1_10560000_11200000,0.928025311904072,0.793068695426954,1.43809970581804,1.22637344092156,1.22569068374678,1.50205924310368,1.6206941462737,1.63488136745,0.705338993700014,0.729433405104193,1.15124524790143,1.19746813999369,1.0,-0.012375963416343394
chr1_11200000_11920000,0.395873345560394,0.29391789162073,0.758399431689396,0.717147248372091,0.715573565446469,0.668281983410757,0.69862651706177,0.86762238079967,0.0731026687203359,0.117162824924535,0.184615375418388,0.39727974438783,0.4375,-0.20179732579788462
chr1_11920000_12320000,1.3511531753438,1.2868085279388,1.41435031258375,1.4580223200776,1.50716868447651,1.58075061468142,1.52004542126638,1.32351401411681,0.736275240742703,0.582397961658759,1.2080848179408,1.12461872374924,0.15625,-0.3505529092711981
chr1_12320000_12800000,0.738648050568872,0.642539957445903,0.416058874412083,0.59716846672986,0.481063787700508,0.125851770801264,0.737960681822212,0.910690225518476,0.368799199700594,0.541548550618153,1.20627582719709,1.1774482862428,0.4375,0.3235653105734724
chr1_12800000_13480000,-0.877027945827668,-1.19382339727873,-0.907287832912115,-0.933147441705155,-0.798753583412814,-0.817445866451741,-1.00654916563781,-1.02627660672161,-1.366799496319,-1.29871652754063,-0.700107885944635,-0.856228890731446,0.4375,-0.12119875088448462
chr1_13480000_13920000,-1.34171854475961,-1.19382339727873,-0.907287832912115,-0.933147441705155,-0.798753583412814,-0.817445866451741,-1.00654916563781,-1.02627660672161,-1.366799496319,-1.29871652754063,-1.22281507850213,-1.3444724094615,0.15625,-0.21224210294375256
chr1_13920000_14360000,0.667473752998477,0.269969951616624,0.467410295419882,0.406384755643201,0.167124786946927,0.134560667824459,0.372908028607626,0.622724990312044,-0.175360994715744,-0.241629997351359,0.666382682459592,0.681723555020054,0.84375,-0.031029324352892795
chr1_15520000_15800000,2.05776727768949,2.16836936389628,1.48202398705908,1.65024298330809,1.26815219744365,1.54866256654181,2.10091107645365,2.20398437781708,2.12446777350086,2.26680257587688,2.59513424914201,2.43119243658767,0.03125,0.5912123522399588
chr1_15800000_16800000,0.932463944461084,0.968996007987421,1.44830975839916,1.53588106111846,1.54964829255035,1.53766798981985,1.33070007212158,1.36883979830348,0.697385986363841,0.68094212061734,1.14281540192181,1.08599980490954,0.15625,-0.27771397834978884
chr1_16800000_17360000,1.82831023476607,1.87626828437958,2.52494886675741,2.19286587997315,2.85372104117365,2.76585770939829,2.20126795425009,1.95636073440587,0.889667624590213,0.756766955994651,1.52719416194523,1.70108903950425,0.15625,-0.834937590959641
chr1_19200000_19520000,1.41658207094691,1.05170872272403,1.06023908141923,1.00618225371721,1.00301881482265,1.29216909374154,1.88726609594295,1.62585466725882,1.23930720118348,1.3736756500163,2.12940355511228,2.1093771582025,0.03125,0.5891640483907934
chr1_19520000_20160000,0.96398534891439,0.933384317828446,1.16015582595958,1.17542338728086,1.07440818382462,1.32088369485958,1.32087556873587,1.41724981635846,0.893529477701923,1.00554297996563,1.29638448255513,1.14846574367287,0.5625,0.07563455172040112
chr1_20160000_20920000,0.879858247186141,0.697651005438901,0.511785854129612,0.692185696108463,0.642889520193339,0.718648882084558,1.14679583016561,1.03194800267969,0.920299291679147,0.987475089945552,1.13622598375756,1.18858632808865,0.03125,0.37805188686253266
chr1_20920000_21640000,0.92160389606592,1.01312582655578,1.03988605551925,0.981993894829011,1.14775638915709,1.21491148481557,1.01783266622234,0.985558781427266,0.416611078662907,0.358753566451784,0.855588399607992,0.829112098524237,0.09375,-0.309303492674349
chr1_23400000_23760000,1.558290724249,1.5911567021557,1.5707166022483,1.6321389001053,1.22699711879857,1.58489402492105,1.45667055755102,1.42925459431411,0.869479864506007,1.2300166067178,1.50553859529984,1.45011278889638,0.21875,-0.20385351086546066
chr1_23760000_24160000,1.84112403796362,2.08132291322535,2.02924563700515,2.02125959880727,1.96396351613481,2.08555713193735,2.17573113414082,2.06750646900673,1.38218833902896,1.29495850121768,1.79064432092053,1.89262726197804,0.21875,-0.2364694681301318
chr1_24160000_25000000,0.994268458921362,0.913961985743374,0.914169474085302,1.0128101372666,1.18314149648153,0.857964826072442,1.38448994404259,1.44534069000608,0.865115067073068,0.911347537511958,1.28244059553181,1.30969588494737,0.21875,0.2203522234237112
chr1_25000000_25640000,0.490808961402599,0.610413928303241,1.01729312229719,0.878839855586813,0.577049955689346,1.05289063500274,0.92380838705384,1.10003274640789,0.671012642315954,0.756072239300778,0.965347473259784,1.02309828661216,0.4375,0.13534588611141274
chr1_25640000_26400000,0.732438011418612,0.753771635779562,1.11059516034077,1.05236953667719,0.910918125080934,1.21366758223547,0.911820847323004,1.03583048883253,0.400479802662366,0.381724471724769,0.746714892106776,0.803230506235221,0.3125,-0.24899317377464525
chr1_26400000_26800000,2.0232338021116,1.97838090968189,2.09764692178304,2.16390399733602,2.20640936146662,2.33314245821318,2.24801124329145,2.2066592949672,1.19012979767837,1.24257530871444,1.69106019585219,1.71544092724835,0.15625,-0.41814011380672444
chr1_26800000_27280000,1.83486702762621,1.88421079382584,1.94657210252152,2.09442898453455,1.91435706556527,1.91628097184235,1.7426748097461,1.87809609313807,1.14114471024252,1.1456403361436,1.60078499576829,1.50955989698869,0.03125,-0.4288026839814114
chr1_27280000_28160000,1.42830444338883,1.31633114865333,1.32899718815617,1.1765445410451,1.35362596455107,1.4608328525653,1.44059459085702,1.38181588209711,0.857974211435832,0.856041033676931,1.3295641521879,1.20061589746889,0.21875,-0.16633839510601955
chr1_29600000_31320000,-0.379058698662358,-0.468005589255249,-0.00371891443255633,-0.197066151319478,0.00501097959977235,0.126435360750275,0.168227031831371,-0.012333346298735,-0.547126973456009,-0.477967407361869,-0.119318188428415,-0.381765302853763,0.84375,-0.07564686220797107
chr1_32640000_32960000,2.00240941489328,2.18820941100066,2.28387264417564,2.1110946337955,2.17085026697116,2.14595162829044,1.87558532141818,1.61931474231762,1.45708135173413,1.51342279580382,1.98130584890059,1.72524083339635,0.03125,-0.45507285092599825
