,04CT_1,04CT_2,05CT_1,05CT_2,14CT_1,14CT_2,04LT_1,04LT_2,05LT_1,05LT_2,14LT_1,14LT_2,p_value,mean_M_T
chr1_3720000_4080000,0.697437669040696,0.658674689779051,-0.431875897848834,-0.174930435772922,0.187903713880182,0.274342884026965,1.07387126121338,1.04472220407055,0.0822695596986378,0.341456930299008,0.207975684401188,0.335827301016872,0.03125,0.31242838626574965
chr1_4080000_6000000,-1.30551020739185,-1.33799917035919,-1.06872597031548,-1.19094309761914,-0.597662444291595,-0.843822835530838,-0.46379214895209,-0.854189489419064,-1.25338538506162,-1.10485547704251,-0.820152854205697,-0.808193790571743,0.5625,0.17334909670922827
chr1_6000000_6720000,1.75051049636964,1.64851360162762,0.82108964835235,0.870079627171893,1.22791922172314,1.23431154975783,1.43181298408398,1.53014407521647,0.914968141324917,1.0249226378262,1.05437339078711,1.07103705073111,0.21875,-0.08752764417211423
chr1_7880000_8520000,0.86557091738967,1.09933056384787,0.815133829321188,0.770299648272632,1.32791992023399,1.44084587617063,0.607966139531581,0.881155168745729,0.741935499477263,0.477600704939528,0.756592595185443,0.918191856870482,0.03125,-0.3226097984143258
chr1_8520000_9080000,0.64144281679288,0.610170984412486,0.315113346379069,0.23046493605531,0.80262999243144,1.00267484294858,1.29709762802463,1.02847428973073,0.453267918037486,0.508495564417231,0.281193079011396,0.581389577635335,0.84375,0.09123685630617384
chr1_9720000_10560000,1.08997985184105,1.02638221023989,0.305477267921176,0.403727892609933,0.636247808294648,0.421543226960229,1.28112792525215,1.1610239269853,0.710041924284206,0.801678369131917,0.520405610141763,0.635792469986762,0.0625,0.2044519946525285
chr1_10560000_11200000,1.59780294209084,1.67145336205113,0.642646116386356,0.65920438706338,1.11168632369908,1.17603338281995,1.40472142430732,1.57123461714731,0.659415544862509,0.643190755581648,1.1155434800976,1.06184477854943,0.21875,-0.06714598559415319
chr1_11200000_11920000,0.625744832753607,0.795805925216852,-0.0992168886411974,-0.0717129734794187,-0.00686868270365777,0.273405763282888,0.533742580169123,0.758180733199274,0.38743428042216,0.185457451891844,0.0467909358271997,0.0898096162831469,0.6875,0.08070960356061235
chr1_11920000_12320000,1.47499061453429,1.28213675055835,0.669585894018184,0.478293020032248,1.17594066341224,1.08754273054935,1.86749197813896,2.01454194419088,1.81914310978705,1.45883317146691,0.709881605241971,0.606601075373928,0.3125,0.3846672018491728
chr1_12320000_12800000,0.67318751200982,0.847880543800795,0.250236259208992,0.433620825709725,1.17165683247059,1.15292581228472,-1.0164440751305,-0.854189489419064,0.276347542206929,-1.10485547704251,0.655730576080107,0.735851810277552,0.0625,-0.9728444830853548
